Filename,class,contrast,dissimilarity,homogeneity,energy,correlation,ASM
Cutting_Marks_101.jpg,1,61.08505410821644,3.8150340681362733,0.3658740029762068,0.039109231670789835,0.992141427767166,0.0015295320018795108
Cutting_Marks_109.JPG,1,187.79074148296593,8.783599198396795,0.1677416921726641,0.01617105208980113,0.9617320492109015,0.0002615029256910615
Cutting_Marks_11.jpg,1,44.7266012024048,2.2955470941883767,0.6174200270937609,0.0787899556352686,0.9930064073418445,0.006207857109007594
Cutting_Marks_114.JPG,1,66.67495791583165,5.362741482965931,0.25063685713442413,0.021100086296323112,0.9789843516268566,0.00044521364171228235
Cutting_Marks_121.JPG,1,142.87845290581166,7.793731462925853,0.19551643823803344,0.018047017387006682,0.9586402199295998,0.00032569483656692155
Cutting_Marks_126.JPG,1,75.18852905811625,5.600865731462927,0.21988700930044283,0.020765947060779465,0.9855737463999068,0.00043122455733109525
Cutting_Marks_13.jpg,1,53.07845290581163,4.4883927855711425,0.24545724939123978,0.030101647201112167,0.9847202379465438,0.000906109164220224
Cutting_Marks_130.JPG,1,49.60284569138276,3.3536432865731465,0.4173178596688102,0.02683986841682319,0.9940899534172681,0.000720378536632383
Cutting_Marks_134.JPG,1,77.5456753507014,4.245619238476954,0.33822201302394866,0.023334278309446684,0.9909439981421015,0.000544488544222714
Cutting_Marks_137.JPG,1,69.01103406813627,3.8674188376753507,0.39259222348686273,0.02596464818111069,0.9918526919935443,0.0006741629551688547
Cutting_Marks_142.JPG,1,57.91917835671343,3.8386492985971943,0.3755137449999609,0.027425535388125716,0.9876434471043221,0.0007521599913253359
Cutting_Marks_146.jpg,1,69.69133066132265,4.876180360721442,0.2604654526906031,0.025452858713210035,0.9906615511449304,0.000647848016674632
Cutting_Marks_148.JPG,1,70.33606813627254,4.456148296593186,0.3856821194149437,0.03853264475465324,0.9867130549500296,0.001484764711788306
Cutting_Marks_163.JPG,1,41.120436873747494,2.327490981963928,0.6572050916108487,0.09333792946294349,0.9955448011802539,0.008711969076429413
Cutting_Marks_164.JPG,1,33.016084168336675,1.9659278557114228,0.6349288442363383,0.057680387936467584,0.9953117690734272,0.0033270271525013954
Cutting_Marks_165.JPG,1,12.15567134268537,1.6482565130260523,0.567034581074986,0.050571781680984376,0.9983105684969587,0.002557505102389147
Cutting_Marks_177.JPG,1,30.330861723446894,2.824705410821643,0.4118624509944482,0.028422988047232728,0.9955104932180502,0.0008078662495331345
Cutting_Marks_181.JPG,1,42.27056513026052,3.535054108216433,0.4320349651371636,0.03900868981152435,0.9933400765799166,0.0015216778808117234
Cutting_Marks_185.JPG,1,36.172565130260516,3.303114228456914,0.4218977085017892,0.03625771261967232,0.9954994436762881,0.0013146217244107453
Cutting_Marks_186.JPG,1,20.442601202404813,2.552324649298598,0.457358538059306,0.039619303351211894,0.9974752439556688,0.00156968919803535
Cutting_Marks_187.JPG,1,25.4849619238477,2.6698436873747498,0.4365455939318058,0.031190208223732706,0.996959477546627,0.0009728290890398034
Cutting_Marks_193.JPG,1,10.333647294589175,1.8317474949899795,0.5117691093116756,0.037848888799804754,0.9978354459486427,0.0014325383833799857
Cutting_Marks_195.JPG,1,7.7177515030060135,1.5205090180360723,0.5604097520437604,0.04506226541827932,0.9986234822818149,0.002030607764627452
